iter	Passed	Remaining
0	14	34461
1	29	36575
2	45	37399
3	61	37504
4	76	37734
5	92	38018
6	109	38324
7	125	38316
8	140	38264
9	156	38452
10	172	38493
11	187	38334
12	204	38538
13	220	38561
14	236	38560
15	253	38714
16	268	38609
17	284	38601
18	300	38616
19	317	38748
20	333	38732
21	347	38483
22	363	38492
23	379	38525
24	395	38540
25	412	38593
26	427	38562
27	443	38544
28	459	38514
29	475	38525
30	488	38290
31	504	38246
32	519	38229
33	535	38236
34	552	38267
35	568	38249
36	583	38229
37	599	38213
38	615	38220
39	632	38249
40	648	38275
41	665	38288
42	680	38264
43	693	38091
44	708	38024
45	723	37956
46	738	37917
47	754	37915
48	770	37930
49	787	37956
50	804	37994
51	819	37967
52	836	37981
53	852	37992
54	868	37957
55	884	37987
56	900	37980
57	915	37893
58	931	37907
59	947	37889
60	962	37870
61	979	37890
62	995	37888
63	1011	37872
64	1028	37882
65	1044	37886
66	1060	37870
67	1075	37845
68	1092	37852
69	1108	37831
70	1123	37813
71	1140	37810
72	1156	37813
73	1172	37819
74	1189	37829
75	1207	37892
76	1225	37936
77	1242	37930
78	1257	37909
79	1274	37902
80	1291	37928
81	1308	37932
82	1328	38050
83	1348	38153
84	1368	38244
85	1385	38254
86	1399	38184
87	1415	38154
88	1431	38146
89	1447	38123
90	1464	38113
91	1480	38111
92	1496	38076
93	1511	38040
94	1527	38032
95	1543	38007
96	1559	37998
97	1576	37993
98	1588	37875
99	1603	37841
100	1619	37836
101	1636	37838
102	1653	37829
103	1669	37819
104	1685	37805
105	1701	37789
106	1718	37784
107	1734	37779
108	1751	37767
109	1767	37752
110	1783	37744
111	1799	37719
112	1815	37704
113	1831	37683
114	1845	37627
115	1860	37599
116	1877	37595
117	1892	37566
118	1908	37543
119	1924	37520
120	1940	37506
121	1956	37493
122	1973	37488
123	1987	37436
124	2003	37419
125	2019	37409
126	2034	37381
127	2051	37367
128	2065	37321
129	2081	37306
130	2098	37302
131	2114	37294
132	2130	37283
133	2147	37275
134	2164	37271
135	2180	37255
136	2196	37236
137	2212	37230
138	2229	37232
139	2246	37219
140	2262	37213
141	2279	37209
142	2295	37201
143	2312	37196
144	2328	37180
145	2345	37175
146	2362	37170
147	2377	37141
148	2393	37121
149	2410	37116
150	2425	37096
151	2438	37019
152	2453	36998
153	2470	36992
154	2486	36969
155	2502	36955
156	2517	36935
157	2533	36916
158	2549	36898
159	2565	36883
160	2582	36871
161	2598	36867
162	2615	36852
163	2630	36833
164	2647	36821
165	2663	36813
166	2679	36787
167	2695	36774
168	2712	36765
169	2728	36749
170	2744	36742
171	2761	36729
172	2777	36713
173	2793	36705
174	2810	36697
175	2826	36678
176	2843	36670
177	2858	36652
178	2874	36633
179	2890	36611
180	2906	36599
181	2922	36580
182	2939	36569
183	2955	36557
184	2971	36540
185	2987	36525
186	3004	36524
187	3021	36509
188	3037	36498
189	3053	36480
190	3069	36462
191	3085	36447
192	3101	36436
193	3117	36415
194	3134	36402
195	3150	36396
196	3167	36383
197	3183	36365
198	3199	36357
199	3216	36341
200	3232	36328
201	3249	36321
202	3266	36315
203	3282	36301
204	3300	36301
205	3316	36283
206	3331	36258
207	3348	36251
208	3364	36233
209	3379	36203
210	3395	36196
211	3411	36177
212	3427	36157
213	3444	36149
214	3460	36138
215	3476	36118
216	3493	36107
217	3509	36090
218	3525	36077
219	3541	36060
220	3557	36043
221	3574	36033
222	3591	36023
223	3606	36003
224	3622	35986
225	3639	35973
226	3655	35963
227	3671	35944
228	3687	35928
229	3703	35906
230	3719	35890
231	3735	35869
232	3750	35851
233	3766	35830
234	3782	35817
235	3798	35800
236	3815	35789
237	3827	35735
238	3842	35708
239	3858	35689
240	3873	35665
241	3889	35646
242	3905	35635
243	3922	35619
244	3938	35606
245	3954	35588
246	3970	35571
247	3987	35561
248	4003	35546
249	4019	35531
250	4036	35522
251	4053	35512
252	4069	35498
253	4086	35487
254	4101	35468
255	4118	35456
256	4134	35439
257	4151	35428
258	4167	35412
259	4178	35357
260	4193	35329
261	4208	35309
262	4225	35297
263	4242	35285
264	4257	35265
265	4273	35249
266	4290	35237
267	4306	35221
268	4322	35203
269	4338	35191
270	4354	35172
271	4370	35160
272	4387	35144
273	4402	35126
274	4418	35106
275	4435	35099
276	4451	35078
277	4466	35058
278	4482	35042
279	4498	35025
280	4514	35010
281	4531	34994
282	4547	34981
283	4563	34967
284	4579	34950
285	4595	34934
286	4612	34925
287	4629	34914
288	4648	34917
289	4660	34876
290	4676	34859
291	4692	34838
292	4708	34824
293	4724	34806
294	4740	34790
295	4756	34775
296	4773	34763
297	4791	34764
298	4807	34749
299	4824	34737
300	4840	34720
301	4856	34703
302	4872	34688
303	4888	34671
304	4905	34660
305	4921	34645
306	4937	34630
307	4954	34619
308	4971	34605
309	4987	34590
310	5003	34572
311	5020	34561
312	5036	34546
313	5052	34530
314	5069	34518
315	5085	34505
316	5101	34486
317	5117	34469
318	5134	34457
319	5150	34444
320	5167	34432
321	5183	34414
322	5199	34400
323	5215	34382
324	5232	34371
325	5248	34356
326	5265	34344
327	5280	34323
328	5296	34307
329	5312	34292
330	5328	34275
331	5344	34255
332	5361	34244
333	5374	34212
334	5390	34195
335	5407	34181
336	5424	34174
337	5440	34157
338	5457	34145
339	5473	34130
340	5489	34112
341	5505	34097
342	5522	34083
343	5538	34068
344	5555	34057
345	5571	34041
346	5588	34027
347	5604	34014
348	5620	33998
349	5636	33981
350	5653	33967
351	5669	33952
352	5684	33932
353	5702	33922
354	5717	33903
355	5734	33890
356	5751	33878
357	5767	33863
358	5783	33846
359	5799	33831
360	5816	33819
361	5832	33801
362	5848	33787
363	5865	33772
364	5881	33757
365	5897	33743
366	5911	33713
367	5926	33693
368	5944	33683
369	5960	33669
370	5976	33652
371	5993	33638
372	6009	33624
373	6025	33606
374	6041	33589
375	6057	33574
376	6073	33558
377	6090	33543
378	6105	33523
379	6121	33508
380	6138	33495
381	6155	33482
382	6171	33466
383	6187	33449
384	6203	33433
385	6218	33413
386	6235	33402
387	6253	33393
388	6270	33381
389	6286	33366
390	6302	33350
391	6318	33334
392	6335	33322
393	6351	33305
394	6367	33288
395	6384	33274
396	6399	33255
397	6414	33234
398	6430	33218
399	6447	33204
400	6463	33188
401	6479	33172
402	6495	33156
403	6512	33141
404	6528	33125
405	6544	33109
406	6560	33091
407	6576	33074
408	6593	33062
409	6609	33045
410	6624	33026
411	6641	33015
412	6658	33002
413	6674	32983
414	6689	32965
415	6705	32947
416	6722	32933
417	6739	32921
418	6754	32903
419	6771	32889
420	6787	32875
421	6804	32860
422	6819	32841
423	6836	32826
424	6851	32808
425	6867	32789
426	6883	32773
427	6900	32759
428	6916	32744
429	6932	32729
430	6949	32717
431	6966	32701
432	6982	32687
433	6998	32671
434	7014	32654
435	7031	32642
436	7048	32628
437	7064	32610
438	7080	32595
439	7096	32579
440	7112	32562
441	7130	32552
442	7146	32537
443	7162	32520
444	7178	32505
445	7195	32491
446	7211	32477
447	7228	32465
448	7246	32455
449	7259	32424
450	7271	32390
451	7286	32371
452	7303	32356
453	7320	32343
454	7337	32331
455	7352	32313
456	7369	32301
457	7386	32287
458	7402	32270
459	7419	32256
460	7436	32244
461	7452	32229
462	7468	32211
463	7484	32197
464	7500	32180
465	7513	32150
466	7529	32132
467	7544	32112
468	7560	32097
469	7577	32084
470	7595	32077
471	7611	32059
472	7627	32042
473	7649	32050
474	7665	32034
475	7681	32017
476	7697	31999
477	7713	31984
478	7730	31971
479	7746	31955
480	7763	31940
481	7779	31926
482	7795	31909
483	7811	31892
484	7828	31878
485	7845	31864
486	7861	31849
487	7877	31833
488	7893	31815
489	7909	31799
490	7926	31785
491	7942	31768
492	7958	31751
493	7975	31738
494	7991	31722
495	8007	31705
496	8023	31688
497	8038	31669
498	8054	31652
499	8070	31636
500	8086	31620
501	8102	31604
502	8119	31591
503	8136	31576
504	8152	31559
505	8168	31542
506	8183	31524
507	8200	31509
508	8217	31498
509	8234	31483
510	8249	31465
511	8265	31447
512	8281	31429
513	8297	31412
